dimensions,width,height
"(275, 183)",275,183
"(700, 555)",700,555
"(370, 500)",370,500
"(177, 284)",177,284
"(480, 360)",480,360
"(508, 340)",508,340
"(197, 256)",197,256
"(310, 163)",310,163
"(177, 285)",177,285
"(225, 225)",225,225
"(225, 225)",225,225
"(2560, 1920)",2560,1920
"(350, 350)",350,350
"(276, 183)",276,183
"(800, 533)",800,533
"(225, 225)",225,225
"(295, 171)",295,171
"(275, 183)",275,183
"(310, 163)",310,163
"(215, 235)",215,235
"(225, 225)",225,225
"(1500, 1101)",1500,1101
"(225, 225)",225,225
"(284, 177)",284,177
"(225, 225)",225,225
"(275, 183)",275,183
"(510, 340)",510,340
"(510, 340)",510,340
"(510, 340)",510,340
"(960, 540)",960,540
"(266, 189)",266,189
"(274, 184)",274,184
"(662, 260)",662,260
"(275, 183)",275,183
"(612, 443)",612,443
"(1080, 608)",1080,608
"(347, 280)",347,280
"(749, 500)",749,500
"(275, 183)",275,183
"(350, 279)",350,279
"(600, 600)",600,600
"(248, 203)",248,203
"(318, 159)",318,159
"(732, 549)",732,549
"(216, 233)",216,233
"(416, 263)",416,263
"(284, 177)",284,177
"(273, 184)",273,184
"(510, 340)",510,340
"(280, 180)",280,180
"(275, 183)",275,183
"(396, 280)",396,280
"(246, 360)",246,360
"(700, 450)",700,450
"(313, 161)",313,161
"(225, 225)",225,225
"(245, 206)",245,206
"(1080, 1920)",1080,1920
"(350, 622)",350,622
"(510, 340)",510,340
"(300, 168)",300,168
"(275, 183)",275,183
"(1200, 1200)",1200,1200
"(300, 168)",300,168
"(800, 531)",800,531
"(1284, 2778)",1284,2778
"(347, 145)",347,145
"(459, 376)",459,376
"(579, 360)",579,360
"(800, 473)",800,473
"(4500, 3000)",4500,3000
"(612, 407)",612,407
"(275, 183)",275,183
"(183, 275)",183,275
"(800, 561)",800,561
"(225, 225)",225,225
"(253, 200)",253,200
"(284, 177)",284,177
"(276, 183)",276,183
"(284, 177)",284,177
"(300, 168)",300,168
"(297, 170)",297,170
"(800, 530)",800,530
"(500, 500)",500,500
"(262, 192)",262,192
"(179, 281)",179,281
"(1300, 951)",1300,951
"(268, 188)",268,188
"(300, 168)",300,168
"(542, 360)",542,360
"(206, 245)",206,245
"(2048, 2048)",2048,2048
"(225, 225)",225,225
"(1024, 576)",1024,576
"(300, 168)",300,168
"(860, 346)",860,346
"(225, 225)",225,225
"(548, 313)",548,313
"(275, 183)",275,183
"(183, 275)",183,275
"(1080, 1920)",1080,1920
"(600, 400)",600,400
"(168, 299)",168,299
"(1080, 720)",1080,720
"(236, 383)",236,383
"(183, 275)",183,275
"(284, 177)",284,177
"(720, 857)",720,857
"(300, 260)",300,260
"(177, 285)",177,285
"(275, 183)",275,183
"(225, 225)",225,225
"(1080, 675)",1080,675
"(265, 190)",265,190
"(283, 178)",283,178
"(275, 183)",275,183
"(457, 280)",457,280
"(539, 360)",539,360
"(275, 183)",275,183
"(980, 980)",980,980
"(183, 275)",183,275
"(1080, 1620)",1080,1620
"(640, 360)",640,360
"(271, 186)",271,186
"(300, 168)",300,168
"(540, 360)",540,360
"(1920, 1080)",1920,1080
"(275, 183)",275,183
"(300, 168)",300,168
"(1400, 1400)",1400,1400
"(275, 183)",275,183
"(1920, 1200)",1920,1200
"(276, 183)",276,183
"(225, 225)",225,225
"(262, 192)",262,192
"(345, 280)",345,280
"(354, 142)",354,142
"(800, 533)",800,533
"(284, 177)",284,177
"(290, 174)",290,174
"(213, 237)",213,237
"(225, 225)",225,225
"(1000, 1080)",1000,1080
"(284, 177)",284,177
